#           k/h    P           
    0.67683E+00    0.11872E+03
    0.69050E+00    0.11572E+03
    0.70445E+00    0.11281E+03
    0.71868E+00    0.10998E+03
    0.73320E+00    0.10724E+03
    0.74801E+00    0.10458E+03
    0.76312E+00    0.10200E+03
    0.77854E+00    0.99494E+02
    0.79426E+00    0.97058E+02
    0.81031E+00    0.94691E+02
    0.82668E+00    0.92391E+02
    0.84338E+00    0.90155E+02
    0.86041E+00    0.87981E+02
    0.87780E+00    0.85868E+02
    0.89553E+00    0.83812E+02
    0.91362E+00    0.81811E+02
    0.93208E+00    0.79865E+02
    0.95091E+00    0.77970E+02
    0.97011E+00    0.76124E+02
    0.98971E+00    0.74326E+02
    0.10097E+01    0.72575E+02
    0.10301E+01    0.70867E+02
    0.10509E+01    0.69202E+02
    0.10721E+01    0.67579E+02
    0.10938E+01    0.65995E+02
    0.11159E+01    0.64450E+02
    0.11384E+01    0.62942E+02
    0.11614E+01    0.61470E+02
    0.11849E+01    0.60032E+02
    0.12088E+01    0.58627E+02
    0.12333E+01    0.57255E+02
    0.12582E+01    0.55914E+02
    0.12836E+01    0.54604E+02
    0.13095E+01    0.53322E+02
    0.13360E+01    0.52070E+02
    0.13630E+01    0.50845E+02
    0.13905E+01    0.49646E+02
    0.14186E+01    0.48474E+02
    0.14472E+01    0.47327E+02
    0.14765E+01    0.46204E+02
    0.15063E+01    0.45105E+02
    0.15367E+01    0.44030E+02
    0.15678E+01    0.42977E+02
    0.15994E+01    0.41946E+02
    0.16318E+01    0.40936E+02
    0.16647E+01    0.39948E+02
    0.16984E+01    0.38979E+02
    0.17327E+01    0.38031E+02
    0.17677E+01    0.37101E+02
    0.18034E+01    0.36191E+02
    0.18398E+01    0.35299E+02
    0.18770E+01    0.34425E+02
    0.19149E+01    0.33569E+02
    0.19536E+01    0.32730E+02
    0.19930E+01    0.31908E+02
    0.20333E+01    0.31102E+02
    0.20744E+01    0.30313E+02
    0.21163E+01    0.29540E+02
    0.21590E+01    0.28783E+02
    0.22026E+01    0.28041E+02
    0.22471E+01    0.27314E+02
    0.22925E+01    0.26602E+02
    0.23388E+01    0.25904E+02
    0.23861E+01    0.25220E+02
    0.24343E+01    0.24551E+02
    0.24835E+01    0.23895E+02
    0.25336E+01    0.23253E+02
    0.25848E+01    0.22624E+02
    0.26370E+01    0.22008E+02
    0.26903E+01    0.21406E+02
    0.27447E+01    0.20816E+02
    0.28001E+01    0.20238E+02
    0.28567E+01    0.19673E+02
    0.29144E+01    0.19120E+02
    0.29733E+01    0.18579E+02
    0.30333E+01    0.18050E+02
    0.30946E+01    0.17532E+02
    0.31571E+01    0.17026E+02
    0.32209E+01    0.16531E+02
    0.32860E+01    0.16047E+02
    0.33523E+01    0.15575E+02
    0.34201E+01    0.15113E+02
    0.34892E+01    0.14661E+02
    0.35596E+01    0.14220E+02
    0.36316E+01    0.13789E+02
    0.37049E+01    0.13369E+02
    0.37798E+01    0.12958E+02
    0.38561E+01    0.12558E+02
    0.39340E+01    0.12167E+02
    0.40135E+01    0.11785E+02
    0.40946E+01    0.11413E+02
    0.41773E+01    0.11051E+02
    0.42617E+01    0.10697E+02
    0.43478E+01    0.10353E+02
    0.44356E+01    0.10017E+02
    0.45252E+01    0.96897E+01
    0.46166E+01    0.93712E+01
    0.47099E+01    0.90610E+01
