# SKA_b2_LSST HIRAX512_z1_0_LSST ell HIRAX_z1_0_LSST HIRAX512_z1_8_LSST HIRAX_z1_4_LSST SKA_b1_LSST HIRAX512_z1_4_LSST HIRAX_z1_8_LSST
3.290457054816384 1.3145844663447075e-99 103 1.3145844663447075e-99 4.88869572873805e-100 8.55547308565362e-100 4.975754991361669 8.55547308565362e-100 4.88869572873805e-100
3.293156927671809 1.3141410862598568e-99 104 1.3141410862598568e-99 4.876341749339083e-100 8.533733191194024e-100 4.96836681394019 8.533733191194024e-100 4.876341749339083e-100
3.295859854365424 1.3139120949463113e-99 105 1.3139120949463113e-99 4.863823288957579e-100 8.512589397848439e-100 4.95957083698969 8.512589397848439e-100 4.863823288957579e-100
3.2985802883222255 1.3138873226726255e-99 106 1.3138873226726255e-99 4.851145754121138e-100 8.492139173704257e-100 4.949322356163876 8.492139173704257e-100 4.851145754121138e-100
3.3013184641578754 1.3140645066576932e-99 107 1.3140645066576932e-99 4.838369832021835e-100 8.472314787555824e-100 4.937569439169449 8.472314787555824e-100 4.838369832021835e-100
3.304070753746579 1.3144290957013238e-99 108 1.3144290957013238e-99 1.4561995458762098 8.45320626180996e-100 4.924260939271569 8.45320626180996e-100 1.4743162633392715
3.3068489259524494 1.3149818775274555e-99 109 1.3149818775274555e-99 1.458889513319951 8.43475180360026e-100 4.909351781615665 8.43475180360026e-100 1.4772443670407762
3.3096407527223257 1.315706325572477e-99 110 1.315706325572477e-99 1.4615477579474219 8.417068147823336e-100 4.892797862262799 8.417068147823336e-100 1.4801431067324893
3.3124681716137685 1.316603611450843e-99 111 1.316603611450843e-99 1.4641818650683374 8.400091231235641e-100 4.874557358242852 8.400091231235641e-100 1.483020032249468
3.3152983545899866 1.3176553790306783e-99 112 1.3176553790306783e-99 1.466794445324504 8.383908851361624e-100 4.854581718852469 8.383908851361624e-100 1.4858776877411717
3.318167084205064 1.3188598722696225e-99 113 1.3188598722696225e-99 1.4693876291196268 8.368498506787015e-100 4.832837921172565 8.368498506787015e-100 1.4887182215764767
3.3210326730201616 1.3202011789113462e-99 114 1.3202011789113462e-99 1.4719678633119906 8.353893571540518e-100 4.809279694327404 8.353893571540518e-100 1.491547959995683
3.323920205307924 1.3216715329367726e-99 115 1.3216715329367726e-99 1.4745326342067748 8.340137843117185e-100 4.783877196525003 8.340137843117185e-100 1.494364443548501
3.3267993615469718 1.3232608162069527e-99 116 1.3232608162069527e-99 1.4770908458029328 8.327192384483392e-100 4.756588848239901 8.327192384483392e-100 1.4971764290341318
3.3296734369015986 1.32495207477203e-99 117 1.32495207477203e-99 1.4796374263386978 8.31516526785207e-100 4.727389761949314 8.31516526785207e-100 1.4999788925476707
3.3325369959512186 1.326741073197708e-99 118 1.326741073197708e-99 1.482182557684654 8.303965461060452e-100 4.696250721658734 8.303965461060452e-100 1.5027819122523527
3.335357134360273 1.328607199461917e-99 119 1.328607199461917e-99 1.4847250320960972 8.293708158168033e-100 4.663150259463758 8.293708158168033e-100 1.5055842390715608
3.338159951020078 1.3305452316072577e-99 120 1.3305452316072577e-99 1.4872671339951857 8.284342944185153e-100 4.628075158651738 8.284342944185153e-100 1.5083881883934396
