#           k/h    P           
    0.82454E+01    0.29672E+00
    0.84120E+01    0.28811E+00
    0.85819E+01    0.27971E+00
    0.87553E+01    0.27152E+00
    0.89322E+01    0.26352E+00
    0.91126E+01    0.25573E+00
    0.92967E+01    0.24813E+00
    0.94845E+01    0.24071E+00
    0.96761E+01    0.23348E+00
    0.98716E+01    0.22643E+00
    0.10071E+02    0.21956E+00
    0.10274E+02    0.21287E+00
    0.10482E+02    0.20634E+00
    0.10694E+02    0.19998E+00
    0.10910E+02    0.19379E+00
    0.11130E+02    0.18775E+00
    0.11355E+02    0.18187E+00
    0.11584E+02    0.17615E+00
    0.11818E+02    0.17057E+00
    0.12057E+02    0.16514E+00
    0.12301E+02    0.15986E+00
    0.12549E+02    0.15472E+00
    0.12803E+02    0.14971E+00
    0.13061E+02    0.14485E+00
    0.13325E+02    0.14011E+00
    0.13594E+02    0.13550E+00
    0.13869E+02    0.13102E+00
    0.14149E+02    0.12666E+00
    0.14435E+02    0.12242E+00
    0.14727E+02    0.11829E+00
    0.15024E+02    0.11428E+00
    0.15328E+02    0.11038E+00
    0.15637E+02    0.10659E+00
    0.15953E+02    0.10291E+00
    0.16275E+02    0.99330E-01
    0.16604E+02    0.95851E-01
    0.16940E+02    0.92472E-01
    0.17282E+02    0.89190E-01
    0.17631E+02    0.86002E-01
    0.17987E+02    0.82907E-01
    0.18351E+02    0.79904E-01
    0.18721E+02    0.76992E-01
    0.19099E+02    0.74171E-01
    0.19485E+02    0.71438E-01
    0.19879E+02    0.68794E-01
    0.20280E+02    0.66236E-01
    0.20690E+02    0.63764E-01
    0.21108E+02    0.61376E-01
    0.21535E+02    0.59070E-01
    0.21970E+02    0.56845E-01
    0.22413E+02    0.54698E-01
    0.22866E+02    0.52629E-01
    0.23328E+02    0.50635E-01
    0.23799E+02    0.48715E-01
    0.24280E+02    0.46866E-01
